SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,58.6,61.8,58.55,61.15,61.75,58.55,67303,4060885.6,12-AUG-2021,1205,INE144J01027,
21STCENMGM,EQ,26.75,26.75,26.75,26.75,26.75,26.25,2176,58208,12-AUG-2021,10,INE253B01015,
3IINFOTECH,BE,8.7,8.7,8.15,8.35,8.4,8.55,5550909,46247001.85,12-AUG-2021,7495,INE748C01020,
3MINDIA,EQ,23810,24966.15,23704.85,24596.85,24700,23692.6,11674,285083825.65,12-AUG-2021,4573,INE470A01017,
3PLAND,BE,14.75,14.95,14,14.4,14.4,14.4,4654,67276.2,12-AUG-2021,43,INE105C01023,
5PAISA,EQ,485,497,480.05,490.65,489,478.4,31793,15480352.45,12-AUG-2021,1211,INE618L01018,
618GS2024,GS,95.05,95.05,95.05,95.05,95.05,100,2,190.1,12-AUG-2021,1,IN0020190396,
63MOONS,EQ,98.9,100.9,97.05,99.3,99.15,96.45,58727,5830902.5,12-AUG-2021,1326,INE111B01023,
667GS2050,GS,97,97,97,97,97,97.01,300,29100,12-AUG-2021,2,IN0020200252,
676GS2061,GS,98.15,98.15,98.15,98.15,98.15,98.15,200,19630,12-AUG-2021,5,IN0020200401,
732GS2024,GS,96,96,96,96,96,96.5,199,19104,12-AUG-2021,2,IN0020180488,
A2ZINFRA,EQ,4.45,4.6,4.35,4.6,4.6,4.4,372363,1679058.2,12-AUG-2021,444,INE619I01012,
AAATECH,SM,44.05,45,44,45,45,44.1,12000,534150,12-AUG-2021,4,INE0D0U01013,
AAKASH,EQ,276,276,262,268.75,267,266.1,75399,20246492.4,12-AUG-2021,1355,INE087Z01016,
AAREYDRUGS,EQ,40.4,42,39.45,40.95,40.45,39.55,61802,2512775.45,12-AUG-2021,905,INE198H01019,
AARON,EQ,113,113,105.3,109.45,109.5,109.95,8238,900720.25,12-AUG-2021,258,INE721Z01010,
AARTIDRUGS,EQ,648.15,662,645.2,657.25,658.9,644.25,145423,95545044,12-AUG-2021,8807,INE767A01016,
AARTIIND,EQ,923,936.75,920.35,926.6,926,919.5,568088,527636100.95,12-AUG-2021,19181,INE769A01020,
AARTISURF,EQ,1480,1549.75,1470.1,1521.2,1520,1465.65,77827,118286167,12-AUG-2021,7689,INE09EO01013,
AARVEEDEN,EQ,22.9,23.2,21.15,23.2,23.2,22.1,11945,272995.5,12-AUG-2021,120,INE273D01019,
AARVI,EQ,64.9,67,63.55,66.8,67,63.35,42823,2813226.8,12-AUG-2021,413,INE754X01016,
AAVAS,EQ,2571.05,2655,2560,2616.95,2601.1,2582.15,55090,144056633.1,12-AUG-2021,7052,INE216P01012,
ABAN,EQ,43.8,44.9,42.75,43.75,43.85,42.95,78541,3444638.8,12-AUG-2021,1267,INE421A01028,
ABB,EQ,1677,1724.4,1666,1718.35,1714.5,1674.55,78404,133688527.9,12-AUG-2021,8360,INE117A01022,
ABBOTINDIA,EQ,18350.4,18656.9,18201.1,18596.8,18431,18290.8,15607,288459063.25,12-AUG-2021,3673,INE358A01014,
ABCAPITAL,EQ,115.75,117.45,114.8,116.5,116.7,115,1998445,231661874.3,12-AUG-2021,15007,INE674K01013,
ABFRL,EQ,209,212.75,208,209.7,209.7,207.9,2292417,483536982.05,12-AUG-2021,27826,INE647O01011,
ABSLBANETF,EQ,356.55,357.85,356,357.75,357.85,355.8,100166,35678957.13,12-AUG-2021,60,INF209KB1O58,
ABSLNN50ET,EQ,399,400.7,397.55,400,400,397.6,117,46562.5,12-AUG-2021,7,INF209KB1B87,
ABSLRIF6RG,MF,10.2,10.23,10.19,10.23,10.23,10.25,18659,190595.8,12-AUG-2021,8,INF209KB1LL4,
ACC,EQ,2278.35,2329.95,2255,2292,2291,2276.05,593594,1367651464.85,12-AUG-2021,27775,INE012A01025,
ACCELYA,EQ,1350,1372.9,1332.9,1344.25,1345,1336.25,58360,78885684.4,12-AUG-2021,5092,INE793A01012,
ACCURACY,EQ,112.7,116,105.35,109.4,109,107.05,108648,12226969.7,12-AUG-2021,3227,INE648Z01015,
ACE,EQ,215.7,234.55,215.55,229.35,230.6,215,933115,212010091.65,12-AUG-2021,19646,INE731H01025,
ACRYSIL,EQ,608,641,602.95,638.95,640,596.25,145750,91273698.75,12-AUG-2021,5379,INE482D01024,
ADANIENT,EQ,1443.6,1458,1430.25,1442.9,1441.95,1437.05,2455443,3547164790.85,12-AUG-2021,41283,INE423A01024,
ADANIGREEN,BE,890,920,885,913.7,909,901.5,2615374,2386132099.15,12-AUG-2021,32875,INE364U01010,
ADANIPORTS,EQ,701,710.4,700,704.05,703.95,699.15,5068665,3575233025,12-AUG-2021,80831,INE742F01042,
ADANIPOWER,BE,81.9,86.8,81.1,85,85.2,83.4,3362033,283823898.75,12-AUG-2021,30476,INE814H01011,
ADANITRANS,BE,950,959,918,955.05,957.15,946.7,58601,55752773.6,12-AUG-2021,6140,INE931S01010,
ADFFOODS,EQ,779,822,771.95,812.75,822,766.2,33038,26348359.05,12-AUG-2021,2425,INE982B01019,
ADL,BE,36.2,38,36.2,37.8,38,38.05,1197,44253.05,12-AUG-2021,15,INE0CHO01012,
ADORWELD,EQ,680,713.8,679.45,693.5,698,671.15,17630,12304602,12-AUG-2021,2407,INE045A01017,
ADROITINFO,EQ,9.35,9.35,9.35,9.35,9.35,8.95,1165,10892.75,12-AUG-2021,4,INE737B01033,
ADSL,EQ,59.95,63,58.65,61.75,62,58.7,200265,12272204.65,12-AUG-2021,2433,INE102I01027,
ADVANIHOTR,EQ,70.4,74.7,70.15,73.8,74.6,69.35,101271,7402155.2,12-AUG-2021,2911,INE199C01026,
ADVENZYMES,EQ,386,397.95,385.1,390,390,382.25,252179,98855529.65,12-AUG-2021,9694,INE837H01020,
AEGISCHEM,EQ,263.5,288,263.35,283.3,284.6,262.5,953589,260715046.95,12-AUG-2021,22237,INE208C01025,
AFFLE,BE,4100,4200,4060.8,4141,4193,4102.15,239926,983951848.15,12-AUG-2021,5892,INE00WC01019,
AGARIND,EQ,315,321.65,312,321.65,321.65,306.35,16541,5302089.3,12-AUG-2021,256,INE204E01012,
AGCNET,BE,1090.1,1149.85,1074.1,1131,1139.95,1130.6,1134,1285413.25,12-AUG-2021,64,INE676A01019,
AGRITECH,EQ,45.75,46.9,44.25,46.65,45.55,44.75,16169,737408.45,12-AUG-2021,277,INE449G01018,
