20180829 105359;2079.5;2079.6;2079.1;2079.45;3006
20180829 105459;2079.2;2079.8;2079.1;2079.4;3334
20180829 105559;2079.3;2079.6;2079.25;2079.25;1701
20180829 105659;2079;2079.15;2078.4;2078.9;3262
20180829 105759;2078.65;2079;2078.65;2078.7;2034
20180829 105859;2078.55;2079;2078.4;2078.4;1837
20180829 105959;2078.4;2078.45;2077.55;2077.6;2967
20180829 110059;2077.55;2078.05;2077.35;2078.05;3675
20180829 110159;2077.55;2078.05;2077.55;2077.9;1492
20180829 110259;2077.75;2078.05;2077.6;2078.05;2888
20180829 110359;2077.8;2078.05;2077.8;2077.8;2136
20180829 110459;2077.8;2078.05;2077.5;2078;1935
20180829 110559;2078;2078.1;2077.95;2078.05;3789
20180829 110659;2078.05;2078.65;2077.95;2078.25;3634
20180829 110759;2078.25;2078.65;2078.1;2078.3;2041
20180829 110859;2078.35;2078.35;2078.3;2078.3;1764
20180829 110959;2078.25;2078.3;2077.25;2077.25;3804
20180829 111059;2077.95;2078.45;2076.85;2076.85;5343
20180829 111159;2076.9;2077;2075.9;2076;8462
20180829 111259;2075.95;2076.45;2075.9;2076.25;9150
20180829 111359;2076.15;2076.65;2076;2076.1;2455
20180829 111459;2076.65;2076.75;2076.3;2076.3;2364
20180829 111559;2076.25;2076.3;2075.9;2075.9;2541
20180829 111659;2075.9;2076.05;2075.5;2075.5;2229
20180829 111759;2075.5;2075.65;2075.2;2075.3;2742
20180829 111859;2075.25;2077.6;2075.25;2077.6;8024
20180829 111959;2077.05;2077.7;2075.85;2076.1;9435
20180829 112059;2076.1;2076.9;2076;2076.4;2566
20180829 112159;2076.35;2078.1;2076;2077.7;8349
20180829 112259;2077;2078;2075.5;2076.05;7571
20180829 112359;2076.05;2078.45;2076.05;2077;10731
20180829 112459;2077;2078.3;2076.1;2076.9;6682
20180829 112559;2078.3;2078.8;2076.2;2078.8;10372
20180829 112659;2078.3;2078.8;2076.45;2078.25;6919
20180829 112759;2078.25;2078.6;2076.5;2078;5754
20180829 112859;2078.1;2078.35;2076.55;2077.85;5511
20180829 112959;2076.8;2077.5;2076.1;2076.4;10195
20180829 113059;2076.4;2077.4;2075.2;2075.2;5426
20180829 113159;2075.2;2076.9;2075.2;2076.55;5213
20180829 113259;2076.2;2077;2076.2;2076.55;2529
20180829 113359;2075.8;2076.25;2075.75;2075.8;4933
20180829 113459;2075.85;2076.5;2075.7;2075.85;6024
20180829 113559;2076.5;2076.5;2075.85;2076.4;2572
20180829 113659;2076.25;2077.95;2076.25;2077;4848
20180829 113759;2077.05;2077.9;2077;2077.4;2941
20180829 113859;2077.35;2077.95;2077.35;2077.55;1763
20180829 113959;2077.5;2077.6;2077;2077;3410
20180829 114059;2077.05;2077.05;2075.35;2075.35;10279
20180829 114159;2075.35;2076.5;2075.35;2075.55;2150
20180829 114259;2075.5;2076.35;2075.5;2076.05;2012
20180829 114359;2076.05;2077.05;2076.05;2076.55;2061
20180829 114459;2076.55;2077.55;2076.2;2076.2;2479
20180829 114559;2076;2076.65;2076;2076.25;1551
20180829 114659;2076.05;2076.4;2075.2;2076.4;3921
20180829 114759;2075.4;2075.9;2075.2;2075.7;2117
20180829 114859;2075.65;2076.3;2075.4;2075.6;3781
20180829 114959;2075.6;2076;2075.4;2075.8;1827
20180829 115059;2075.4;2076.25;2075.4;2075.75;2601
20180829 115159;2075.75;2077.05;2075.75;2076.25;4435
20180829 115259;2075.95;2076.1;2075.6;2075.85;2317
20180829 115359;2075.7;2076.75;2075;2076.7;10416
20180829 115459;2076.6;2077;2075.8;2076;4183
20180829 115559;2076.05;2077.2;2075.9;2077;3790
20180829 115659;2077;2077.45;2076.6;2076.65;3381
20180829 115759;2076.6;2077.2;2076.55;2076.7;1906
20180829 115859;2076.1;2076.7;2076;2076;7127
20180829 115959;2076.05;2076.1;2075.35;2075.4;2152
20180829 120059;2075.35;2076;2075.3;2075.6;2563
20180829 120159;2075.6;2076;2075.5;2076;3193
20180829 120259;2075.75;2076;2075.6;2075.6;1397
20180829 120359;2075.55;2075.75;2075.35;2075.45;2319
20180829 120459;2075.45;2076;2075.3;2075.45;2377
20180829 120559;2075.45;2076;2075.1;2075.45;3073
20180829 120659;2075.4;2075.8;2075.35;2075.7;4289
20180829 120759;2075.55;2077.1;2075.5;2075.75;8929
20180829 120859;2076.65;2077.1;2075.1;2075.6;4512
20180829 120959;2075.45;2076.5;2075.45;2075.75;3824
20180829 121059;2075.95;2076;2075.25;2075.7;3071
20180829 121159;2075.7;2075.9;2075.7;2075.8;3112
20180829 121259;2075.8;2075.9;2075.65;2075.7;3910
20180829 121359;2075.2;2075.9;2075.2;2075.2;3153
20180829 121459;2075.35;2075.9;2075.25;2075.5;2196
20180829 121559;2075.45;2075.9;2072.75;2073.3;18403
20180829 121659;2073.1;2074.45;2073;2074.45;3938
20180829 121759;2074.1;2075.5;2074;2075.35;4530
20180829 121859;2075;2075.5;2075;2075.15;1962
20180829 121959;2075.1;2075.5;2074.85;2074.85;2773
