<Ticker>,<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume> 
^NSEI,20070116,09:55,4095.65,4103.55,4095.65,4101.15,0
^NSEI,20070116,09:56,4104.55,4106.35,4101.25,4102.20,0
^NSEI,20070116,09:57,4102.30,4102.30,4087.80,4087.80,0
^NSEI,20070116,09:58,4096.65,4099.50,4095.25,4098.50,0
^NSEI,20070116,09:59,4100.15,4100.15,4093.70,4093.70,0
^NSEI,20070116,10:00,4091.65,4091.80,4087.95,4088.65,0
^NSEI,20070116,10:01,4088.65,4089.85,4087.95,4087.95,0
^NSEI,20070116,10:02,4087.65,4089.95,4087.65,4089.95,0
^NSEI,20070116,10:03,4090.20,4090.20,4086.50,4086.50,0
^NSEI,20070116,10:04,4087.15,4087.35,4086.40,4086.90,0
^NSEI,20070116,10:05,4086.85,4090.10,4086.80,4090.10,0
^NSEI,20070116,10:06,4089.40,4091.70,4089.40,4091.15,0
^NSEI,20070116,10:07,4090.60,4090.60,4089.95,4090.15,0
^NSEI,20070116,10:08,4089.90,4090.15,4085.30,4085.30,0
^NSEI,20070116,10:09,4085.65,4085.65,4082.70,4082.70,0
^NSEI,20070116,10:10,4081.75,4082.95,4081.75,4082.95,0
^NSEI,20070116,10:11,4082.60,4082.65,4081.20,4081.20,0
^NSEI,20070116,10:12,4080.60,4080.60,4077.95,4077.95,0
^NSEI,20070116,10:13,4075.55,4075.75,4070.65,4070.65,0
^NSEI,20070116,10:14,4070.40,4074.05,4069.55,4074.05,0
^NSEI,20070116,10:15,4074.40,4076.75,4074.40,4076.45,0
^NSEI,20070116,10:16,4075.95,4077.00,4075.55,4077.00,0
^NSEI,20070116,10:17,4078.25,4081.50,4078.25,4081.50,0
^NSEI,20070116,10:18,4082.05,4086.70,4082.05,4086.70,0
^NSEI,20070116,10:19,4086.10,4086.30,4085.65,4086.25,0
^NSEI,20070116,10:20,4086.75,4086.95,4083.00,4083.10,0
^NSEI,20070116,10:21,4083.35,4083.35,4080.65,4080.95,0
^NSEI,20070116,10:22,4080.20,4082.05,4080.20,4082.05,0
^NSEI,20070116,10:23,4082.10,4083.05,4081.45,4082.70,0
^NSEI,20070116,10:24,4082.70,4082.90,4082.05,4082.45,0
^NSEI,20070116,10:25,4082.60,4082.60,4078.30,4078.30,0
^NSEI,20070116,10:26,4077.70,4077.70,4076.15,4077.60,0
^NSEI,20070116,10:27,4078.60,4080.50,4078.20,4080.50,0
^NSEI,20070116,10:28,4080.35,4081.60,4080.35,4081.50,0
^NSEI,20070116,10:29,4082.05,4084.05,4081.85,4084.05,0
^NSEI,20070116,10:30,4084.60,4084.60,4083.10,4083.15,0
^NSEI,20070116,10:31,4084.50,4085.10,4084.10,4084.35,0
^NSEI,20070116,10:32,4084.40,4084.75,4084.10,4084.10,0
^NSEI,20070116,10:33,4084.55,4084.55,4083.70,4083.75,0
^NSEI,20070116,10:34,4084.10,4084.10,4083.10,4083.70,0
^NSEI,20070116,10:35,4084.25,4084.80,4083.30,4084.80,0
^NSEI,20070116,10:36,4085.75,4086.00,4085.05,4085.45,0
^NSEI,20070116,10:37,4085.20,4085.20,4083.95,4083.95,0
^NSEI,20070116,10:38,4084.90,4084.90,4082.95,4083.35,0
^NSEI,20070116,10:39,4083.40,4085.40,4083.40,4085.40,0
^NSEI,20070116,10:40,4086.10,4087.40,4086.10,4086.85,0
^NSEI,20070116,10:41,4087.20,4088.00,4087.05,4087.50,0
^NSEI,20070116,10:42,4086.95,4087.60,4086.50,4087.25,0
^NSEI,20070116,10:43,4087.50,4087.90,4087.10,4087.90,0
^NSEI,20070116,10:44,4086.25,4087.00,4085.90,4086.40,0
^NSEI,20070116,10:45,4085.85,4086.30,4085.15,4086.05,0
^NSEI,20070116,10:46,4086.50,4086.90,4086.40,4086.55,0
^NSEI,20070116,10:47,4087.30,4087.90,4087.20,4087.90,0
^NSEI,20070116,10:48,4088.30,4089.95,4088.30,4089.95,0
^NSEI,20070116,10:49,4090.15,4090.30,4089.45,4089.45,0
^NSEI,20070116,10:50,4089.45,4089.45,4088.55,4088.55,0
^NSEI,20070116,10:51,4089.15,4089.15,4088.45,4089.00,0
^NSEI,20070116,10:52,4089.05,4089.05,4088.15,4088.25,0
^NSEI,20070116,10:53,4088.45,4088.45,4087.30,4088.15,0
^NSEI,20070116,10:54,4088.05,4088.20,4086.80,4087.65,0
^NSEI,20070116,10:55,4088.20,4088.20,4085.95,4085.95,0
^NSEI,20070116,10:56,4085.85,4085.95,4085.45,4085.50,0
^NSEI,20070116,10:57,4084.95,4086.10,4084.95,4085.55,0
^NSEI,20070116,10:58,4085.70,4085.70,4084.80,4084.80,0
^NSEI,20070116,10:59,4084.85,4085.70,4084.35,4084.35,0
^NSEI,20070116,11:00,4084.35,4084.35,4082.45,4082.45,0
^NSEI,20070116,11:01,4082.20,4082.20,4081.35,4081.35,0
^NSEI,20070116,11:02,4080.45,4080.75,4079.70,4079.70,0
^NSEI,20070116,11:03,4079.45,4079.45,4078.60,4078.65,0
^NSEI,20070116,11:04,4078.00,4078.00,4074.05,4074.05,0
^NSEI,20070116,11:05,4074.10,4076.25,4074.05,4076.25,0
^NSEI,20070116,11:06,4076.35,4078.40,4076.35,4078.40,0
^NSEI,20070116,11:07,4078.50,4079.30,4078.00,4079.30,0
^NSEI,20070116,11:08,4079.55,4080.10,4079.55,4080.05,0
^NSEI,20070116,11:09,4079.55,4081.20,4079.55,4081.20,0
^NSEI,20070116,11:10,4081.00,4081.70,4080.75,4080.85,0
^NSEI,20070116,11:11,4081.05,4081.05,4079.55,4079.55,0
^NSEI,20070116,11:12,4079.65,4079.65,4079.00,4079.55,0
^NSEI,20070116,11:13,4079.80,4081.20,4079.75,4081.20,0
^NSEI,20070116,11:14,4081.40,4082.10,4081.40,4081.90,0
^NSEI,20070116,11:15,4082.45,4083.00,4082.25,4083.00,0
^NSEI,20070116,11:16,4082.90,4083.90,4082.90,4083.80,0
^NSEI,20070116,11:17,4083.75,4084.50,4083.75,4084.50,0
^NSEI,20070116,11:18,4084.55,4085.15,4084.25,4084.95,0
^NSEI,20070116,11:19,4085.30,4086.35,4085.20,4086.35,0
^NSEI,20070116,11:20,4086.90,4087.40,4086.50,4087.40,0
^NSEI,20070116,11:21,4087.40,4088.00,4087.40,4087.65,0
^NSEI,20070116,11:22,4087.50,4087.85,4087.35,4087.40,0
^NSEI,20070116,11:23,4087.25,4088.10,4087.25,4087.70,0
^NSEI,20070116,11:24,4087.40,4088.30,4087.40,4088.30,0
^NSEI,20070116,11:25,4088.80,4088.80,4087.50,4087.60,0
^NSEI,20070116,11:26,4088.10,4088.10,4087.75,4088.00,0
^NSEI,20070116,11:27,4088.20,4088.85,4088.20,4088.55,0
^NSEI,20070116,11:28,4088.00,4088.30,4087.65,4088.20,0
^NSEI,20070116,11:29,4088.50,4088.85,4088.30,4088.85,0
^NSEI,20070116,11:30,4089.30,4090.45,4089.30,4089.70,0
^NSEI,20070116,11:31,4090.00,4090.55,4090.00,4090.55,0
^NSEI,20070116,11:32,4090.20,4090.70,4089.70,4090.70,0
^NSEI,20070116,11:33,4090.35,4090.90,4090.00,4090.00,0
^NSEI,20070116,11:34,4090.15,4090.55,4089.65,4089.65,0
^NSEI,20070116,11:35,4089.30,4089.30,4087.65,4087.65,0
^NSEI,20070116,11:36,4087.90,4088.55,4087.20,4087.20,0
^NSEI,20070116,11:37,4087.50,4087.50,4086.05,4086.60,0
^NSEI,20070116,11:38,4086.90,4086.90,4086.20,4086.80,0
^NSEI,20070116,11:39,4086.75,4087.70,4086.75,4087.70,0
^NSEI,20070116,11:40,4086.70,4087.85,4086.40,4087.55,0
^NSEI,20070116,11:41,4087.55,4088.15,4087.50,4088.15,0
^NSEI,20070116,11:42,4088.15,4088.15,4086.05,4086.55,0
^NSEI,20070116,11:43,4086.15,4086.15,4084.90,4085.25,0
^NSEI,20070116,11:44,4086.00,4086.10,4084.75,4086.10,0
