<Ticker>,<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume> 
^NSEI,20070122,09:55,4090.15,4107.90,4090.15,4106.90,0
^NSEI,20070122,09:56,4101.35,4107.05,4101.35,4106.70,0
^NSEI,20070122,09:57,4105.85,4105.85,4102.80,4102.80,0
^NSEI,20070122,09:58,4102.55,4109.55,4102.20,4109.55,0
^NSEI,20070122,09:59,4109.50,4110.70,4109.45,4109.45,0
^NSEI,20070122,10:00,4109.20,4109.20,4106.05,4106.05,0
^NSEI,20070122,10:01,4105.45,4108.30,4105.45,4107.75,0
^NSEI,20070122,10:02,4106.75,4107.10,4106.00,4106.60,0
^NSEI,20070122,10:03,4105.50,4105.75,4104.30,4104.40,0
^NSEI,20070122,10:04,4103.00,4103.00,4101.45,4101.45,0
^NSEI,20070122,10:05,4101.10,4101.10,4098.35,4098.35,0
^NSEI,20070122,10:06,4097.40,4097.40,4090.55,4090.55,0
^NSEI,20070122,10:07,4089.80,4089.80,4088.75,4089.45,0
^NSEI,20070122,10:08,4089.75,4094.40,4089.75,4093.95,0
^NSEI,20070122,10:09,4095.70,4097.15,4095.70,4097.00,0
^NSEI,20070122,10:10,4097.65,4098.95,4097.60,4098.95,0
^NSEI,20070122,10:11,4099.85,4099.85,4099.30,4099.65,0
^NSEI,20070122,10:12,4099.95,4100.80,4099.95,4100.80,0
^NSEI,20070122,10:13,4100.25,4100.60,4100.25,4100.55,0
^NSEI,20070122,10:14,4100.40,4100.80,4099.15,4099.15,0
^NSEI,20070122,10:15,4098.80,4099.15,4098.25,4099.15,0
^NSEI,20070122,10:16,4099.75,4101.55,4099.75,4101.35,0
^NSEI,20070122,10:17,4101.40,4102.40,4101.00,4102.30,0
^NSEI,20070122,10:18,4102.60,4103.20,4102.40,4102.85,0
^NSEI,20070122,10:19,4101.95,4101.95,4100.80,4101.55,0
^NSEI,20070122,10:20,4101.40,4101.70,4101.10,4101.30,0
^NSEI,20070122,10:21,4101.30,4101.90,4101.30,4101.65,0
^NSEI,20070122,10:22,4100.75,4101.95,4100.75,4101.60,0
^NSEI,20070122,10:23,4101.95,4102.35,4101.95,4102.35,0
^NSEI,20070122,10:24,4102.35,4102.70,4102.10,4102.15,0
^NSEI,20070122,10:25,4102.55,4102.65,4102.20,4102.55,0
^NSEI,20070122,10:26,4102.75,4103.95,4102.75,4103.75,0
^NSEI,20070122,10:27,4103.65,4103.70,4103.20,4103.30,0
^NSEI,20070122,10:28,4102.35,4102.90,4102.20,4102.30,0
^NSEI,20070122,10:29,4101.80,4101.80,4100.80,4101.25,0
^NSEI,20070122,10:30,4100.75,4100.95,4099.75,4099.75,0
^NSEI,20070122,10:31,4099.35,4099.35,4096.05,4096.05,0
^NSEI,20070122,10:32,4095.45,4095.45,4093.20,4093.20,0
^NSEI,20070122,10:33,4091.35,4091.35,4089.95,4089.95,0
^NSEI,20070122,10:34,4089.75,4089.75,4088.15,4088.95,0
