<Ticker>,<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume> 
^NSEI,20070125,09:55,4118.35,4119.30,4110.30,4110.30,0
^NSEI,20070125,09:56,4108.25,4110.10,4108.25,4110.10,0
^NSEI,20070125,09:57,4109.35,4110.30,4109.35,4109.60,0
^NSEI,20070125,09:58,4109.80,4111.00,4109.80,4111.00,0
^NSEI,20070125,09:59,4113.00,4115.30,4113.00,4115.30,0
^NSEI,20070125,10:00,4114.20,4114.20,4112.55,4112.55,0
^NSEI,20070125,10:01,4112.15,4112.15,4106.20,4106.20,0
^NSEI,20070125,10:02,4105.50,4105.75,4104.90,4104.90,0
^NSEI,20070125,10:03,4105.15,4106.75,4105.15,4106.75,0
^NSEI,20070125,10:04,4107.35,4110.35,4107.35,4110.20,0
^NSEI,20070125,10:05,4109.50,4109.80,4107.20,4107.20,0
^NSEI,20070125,10:06,4107.40,4107.40,4106.65,4106.65,0
^NSEI,20070125,10:07,4106.50,4106.55,4106.45,4106.45,0
^NSEI,20070125,10:08,4105.60,4105.60,4103.60,4103.60,0
^NSEI,20070125,10:09,4102.30,4102.55,4101.65,4101.65,0
^NSEI,20070125,10:10,4101.15,4102.10,4101.15,4102.10,0
^NSEI,20070125,10:11,4102.30,4103.25,4102.30,4103.25,0
^NSEI,20070125,10:12,4103.55,4104.35,4103.55,4104.35,0
^NSEI,20070125,10:13,4104.80,4106.95,4104.80,4106.95,0
^NSEI,20070125,10:14,4107.00,4107.00,4106.50,4106.50,0
^NSEI,20070125,10:15,4106.95,4107.65,4106.95,4107.65,0
^NSEI,20070125,10:16,4108.45,4109.25,4108.45,4109.25,0
^NSEI,20070125,10:17,4108.80,4108.95,4105.25,4105.25,0
^NSEI,20070125,10:18,4103.70,4103.70,4102.30,4102.30,0
^NSEI,20070125,10:19,4102.05,4102.85,4102.05,4102.85,0
^NSEI,20070125,10:20,4101.95,4101.95,4099.30,4099.30,0
^NSEI,20070125,10:21,4099.05,4099.05,4097.55,4097.55,0
^NSEI,20070125,10:22,4097.30,4098.85,4097.30,4098.20,0
^NSEI,20070125,10:23,4099.45,4100.45,4099.45,4099.75,0
^NSEI,20070125,10:24,4099.55,4099.65,4099.10,4099.10,0
^NSEI,20070125,10:25,4099.15,4099.20,4098.40,4098.40,0
^NSEI,20070125,10:26,4098.10,4098.40,4098.10,4098.40,0
^NSEI,20070125,10:27,4098.45,4099.10,4097.30,4097.30,0
^NSEI,20070125,10:28,4096.70,4096.70,4096.10,4096.10,0
^NSEI,20070125,10:29,4095.55,4096.05,4094.90,4094.90,0
^NSEI,20070125,10:30,4095.30,4096.50,4095.30,4096.50,0
^NSEI,20070125,10:31,4096.40,4097.55,4096.40,4097.55,0
^NSEI,20070125,10:32,4097.65,4098.70,4097.65,4098.70,0
^NSEI,20070125,10:33,4098.30,4099.45,4098.30,4099.40,0
^NSEI,20070125,10:34,4100.05,4101.30,4100.05,4101.20,0
^NSEI,20070125,10:35,4101.45,4101.45,4101.10,4101.10,0
^NSEI,20070125,10:36,4101.15,4102.25,4101.15,4102.25,0
^NSEI,20070125,10:37,4102.60,4102.60,4099.75,4099.75,0
^NSEI,20070125,10:38,4099.50,4099.50,4098.10,4098.10,0
^NSEI,20070125,10:39,4098.40,4098.40,4096.30,4096.30,0
^NSEI,20070125,10:40,4095.45,4095.70,4095.45,4095.55,0
^NSEI,20070125,10:41,4095.40,4095.40,4093.30,4093.30,0
^NSEI,20070125,10:42,4092.55,4093.55,4092.55,4093.30,0
^NSEI,20070125,10:43,4093.20,4093.50,4093.20,4093.50,0
^NSEI,20070125,10:44,4093.05,4093.75,4093.05,4093.70,0
^NSEI,20070125,10:45,4093.75,4094.20,4093.50,4093.50,0
^NSEI,20070125,10:46,4093.30,4093.30,4092.55,4092.55,0
^NSEI,20070125,10:47,4092.60,4092.60,4091.35,4091.35,0
^NSEI,20070125,10:48,4090.80,4091.15,4090.20,4090.20,0
^NSEI,20070125,10:49,4090.40,4091.95,4090.40,4091.95,0
^NSEI,20070125,10:50,4092.15,4093.95,4092.15,4093.95,0
^NSEI,20070125,10:51,4094.25,4095.95,4094.25,4095.85,0
^NSEI,20070125,10:52,4095.80,4096.40,4095.80,4096.15,0
^NSEI,20070125,10:53,4096.00,4096.60,4096.00,4096.60,0
^NSEI,20070125,10:54,4096.55,4096.55,4096.55,4096.55,0
^NSEI,20070125,10:55,4097.10,4097.20,4096.95,4096.95,0
^NSEI,20070125,10:56,4096.75,4098.40,4096.75,4098.40,0
^NSEI,20070125,10:57,4098.30,4099.75,4098.30,4099.75,0
^NSEI,20070125,10:58,4099.90,4100.35,4099.40,4099.40,0
^NSEI,20070125,10:59,4099.05,4100.00,4099.05,4099.80,0
^NSEI,20070125,11:00,4099.60,4100.60,4099.60,4100.60,0
^NSEI,20070125,11:01,4100.95,4101.70,4100.95,4101.70,0
^NSEI,20070125,11:02,4101.95,4103.20,4101.95,4103.20,0
^NSEI,20070125,11:03,4103.35,4104.30,4103.35,4104.30,0
^NSEI,20070125,11:04,4104.30,4105.30,4104.30,4105.20,0
^NSEI,20070125,11:05,4104.90,4105.10,4104.10,4104.10,0
^NSEI,20070125,11:06,4104.05,4104.05,4102.90,4102.90,0
^NSEI,20070125,11:07,4103.15,4103.15,4102.65,4102.65,0
^NSEI,20070125,11:08,4102.75,4102.75,4102.75,4102.75,0
^NSEI,20070125,11:09,4102.65,4102.65,4102.50,4102.50,0
^NSEI,20070125,11:10,4102.25,4102.90,4102.25,4102.45,0
^NSEI,20070125,11:11,4102.45,4103.30,4102.45,4102.75,0
^NSEI,20070125,11:12,4102.65,4103.30,4102.65,4103.20,0
^NSEI,20070125,11:13,4103.20,4104.15,4103.20,4103.95,0
^NSEI,20070125,11:14,4104.10,4104.35,4103.10,4103.10,0
^NSEI,20070125,11:15,4103.20,4103.70,4102.55,4102.55,0
^NSEI,20070125,11:16,4103.00,4103.00,4102.50,4102.50,0
^NSEI,20070125,11:17,4102.00,4102.30,4101.50,4101.50,0
^NSEI,20070125,11:18,4101.55,4102.15,4101.55,4102.15,0
^NSEI,20070125,11:19,4102.00,4102.60,4102.00,4102.35,0
^NSEI,20070125,11:20,4102.75,4102.80,4102.45,4102.45,0
^NSEI,20070125,11:21,4102.80,4103.05,4102.55,4102.55,0
^NSEI,20070125,11:22,4102.60,4103.80,4102.60,4103.80,0
^NSEI,20070125,11:23,4103.45,4104.70,4103.45,4104.70,0
^NSEI,20070125,11:24,4104.65,4105.05,4104.40,4104.40,0
^NSEI,20070125,11:25,4104.35,4104.80,4104.15,4104.15,0
^NSEI,20070125,11:26,4104.25,4104.25,4104.00,4104.00,0
^NSEI,20070125,11:27,4103.75,4104.15,4103.65,4103.65,0
^NSEI,20070125,11:28,4103.80,4104.40,4103.80,4104.40,0
^NSEI,20070125,11:29,4104.10,4104.50,4104.10,4104.20,0
^NSEI,20070125,11:30,4104.40,4105.10,4104.40,4104.75,0
^NSEI,20070125,11:31,4104.50,4104.90,4104.50,4104.75,0
^NSEI,20070125,11:32,4105.00,4105.65,4105.00,4105.00,0
^NSEI,20070125,11:33,4105.10,4105.55,4105.10,4105.45,0
^NSEI,20070125,11:34,4105.40,4106.70,4105.40,4106.45,0
^NSEI,20070125,11:35,4106.95,4107.50,4106.95,4107.35,0
^NSEI,20070125,11:36,4107.35,4107.45,4107.35,4107.45,0
^NSEI,20070125,11:37,4107.40,4107.40,4106.80,4106.80,0
^NSEI,20070125,11:38,4106.55,4106.95,4106.50,4106.50,0
^NSEI,20070125,11:39,4106.55,4106.90,4106.25,4106.25,0
^NSEI,20070125,11:40,4106.10,4106.50,4106.10,4106.10,0
^NSEI,20070125,11:41,4105.95,4106.55,4105.95,4106.55,0
^NSEI,20070125,11:42,4106.55,4107.40,4106.55,4107.05,0
^NSEI,20070125,11:43,4107.45,4107.50,4106.95,4106.95,0
^NSEI,20070125,11:44,4106.90,4108.15,4106.90,4108.15,0
^NSEI,20070125,11:45,4107.75,4108.55,4107.30,4107.30,0
^NSEI,20070125,11:46,4108.00,4108.00,4107.10,4107.10,0
^NSEI,20070125,11:47,4107.80,4108.25,4107.80,4108.05,0
^NSEI,20070125,11:48,4109.15,4109.20,4109.10,4109.10,0
^NSEI,20070125,11:49,4109.55,4110.10,4109.55,4110.10,0
^NSEI,20070125,11:50,4110.10,4110.55,4109.75,4109.75,0
