Ticker,Date,Time,Open,High,Low,Close,Volume 
^NSEI,20070104,09:55,4024.05,4036.95,4024.05,4036.65,0
^NSEI,20070104,09:56,4032.60,4036.35,4027.65,4027.65,0
^NSEI,20070104,09:57,4022.90,4026.55,4022.90,4023.50,0
^NSEI,20070104,09:58,4023.35,4023.35,4017.25,4018.10,0
^NSEI,20070104,09:59,4015.90,4017.85,4015.90,4017.85,0
^NSEI,20070104,10:00,4018.60,4021.75,4018.60,4021.75,0
^NSEI,20070104,10:01,4021.65,4023.55,4021.65,4023.55,0
^NSEI,20070104,10:02,4023.45,4023.45,4019.10,4019.25,0
^NSEI,20070104,10:03,4018.20,4018.20,4016.55,4017.40,0
^NSEI,20070104,10:04,4019.50,4019.50,4017.20,4019.50,0
^NSEI,20070104,10:05,4019.95,4019.95,4018.90,4018.90,0
^NSEI,20070104,10:06,4019.20,4019.70,4018.45,4019.10,0
^NSEI,20070104,10:07,4019.95,4021.25,4019.95,4021.25,0
^NSEI,20070104,10:08,4025.80,4025.80,4022.80,4025.05,0
^NSEI,20070104,10:09,4028.75,4028.75,4026.30,4028.75,0
^NSEI,20070104,10:10,4028.65,4029.40,4028.65,4029.25,0
^NSEI,20070104,10:11,4028.20,4030.50,4028.20,4029.25,0
^NSEI,20070104,10:12,4026.60,4027.45,4026.60,4026.70,0
^NSEI,20070104,10:13,4028.25,4028.25,4027.35,4027.95,0
^NSEI,20070104,10:14,4023.50,4027.25,4023.50,4023.50,0
^NSEI,20070104,10:15,4022.25,4022.95,4022.25,4022.85,0
^NSEI,20070104,10:16,4024.20,4024.90,4023.15,4024.90,0
^NSEI,20070104,10:17,4024.65,4024.65,4024.20,4024.45,0
^NSEI,20070104,10:18,4025.30,4025.80,4024.90,4024.90,0
^NSEI,20070104,10:19,4022.95,4024.75,4022.50,4022.50,0
^NSEI,20070104,10:20,4021.95,4022.55,4021.80,4021.80,0
^NSEI,20070104,10:21,4022.00,4022.00,4021.40,4021.40,0
^NSEI,20070104,10:22,4020.20,4020.45,4019.30,4019.30,0
^NSEI,20070104,10:23,4020.80,4020.80,4019.55,4020.35,0
^NSEI,20070104,10:24,4021.15,4021.30,4020.15,4020.15,0
^NSEI,20070104,10:25,4017.55,4019.85,4017.55,4017.55,0
^NSEI,20070104,10:26,4017.00,4017.00,4016.10,4016.10,0
^NSEI,20070104,10:27,4015.05,4015.05,4010.00,4010.00,0
^NSEI,20070104,10:28,4006.85,4008.45,4006.85,4008.45,0
^NSEI,20070104,10:29,4012.15,4012.15,4008.65,4011.10,0
^NSEI,20070104,10:30,4012.95,4015.45,4012.95,4015.45,0
^NSEI,20070104,10:31,4015.95,4016.40,4015.50,4016.40,0
^NSEI,20070104,10:32,4014.65,4014.90,4014.20,4014.60,0
^NSEI,20070104,10:33,4015.05,4015.85,4014.30,4015.85,0
^NSEI,20070104,10:34,4016.10,4017.05,4016.10,4017.05,0
^NSEI,20070104,10:35,4016.95,4016.95,4016.35,4016.35,0
^NSEI,20070104,10:36,4016.50,4017.05,4016.25,4017.05,0
^NSEI,20070104,10:37,4016.65,4017.25,4016.50,4017.25,0
^NSEI,20070104,10:38,4017.60,4017.70,4016.95,4017.35,0
^NSEI,20070104,10:39,4015.20,4017.30,4015.20,4016.00,0
^NSEI,20070104,10:40,4015.00,4015.75,4014.55,4015.75,0
^NSEI,20070104,10:41,4016.20,4016.70,4015.55,4016.70,0
^NSEI,20070104,10:42,4013.90,4015.30,4013.90,4014.90,0
^NSEI,20070104,10:43,4013.60,4013.90,4013.60,4013.90,0
^NSEI,20070104,10:44,4014.55,4014.65,4014.35,4014.35,0
^NSEI,20070104,10:45,4013.90,4014.75,4013.90,4014.05,0
^NSEI,20070104,10:46,4012.65,4012.65,4010.15,4010.15,0
^NSEI,20070104,10:47,4011.20,4011.35,4011.05,4011.35,0
^NSEI,20070104,10:48,4010.00,4011.20,4009.90,4009.90,0
^NSEI,20070104,10:49,4006.55,4008.70,4006.55,4006.65,0
^NSEI,20070104,10:50,4006.80,4006.80,4005.70,4006.05,0
^NSEI,20070104,10:51,4005.75,4006.15,4004.90,4004.90,0
^NSEI,20070104,10:52,4006.20,4006.20,4005.90,4006.20,0
^NSEI,20070104,10:53,4007.15,4007.15,4006.85,4007.15,0
^NSEI,20070104,10:54,4005.30,4008.45,4005.15,4005.15,0
^NSEI,20070104,10:55,4005.70,4005.70,4004.70,4005.70,0
^NSEI,20070104,10:56,4003.90,4006.30,4003.90,4004.65,0
^NSEI,20070104,10:57,3999.10,4002.40,3999.00,3999.00,0
^NSEI,20070104,10:58,3998.50,3998.55,3997.85,3997.85,0
^NSEI,20070104,10:59,3998.10,4000.30,3998.10,4000.30,0
^NSEI,20070104,11:00,4000.95,4002.30,4000.75,4002.30,0
^NSEI,20070104,11:01,4003.60,4003.60,4002.60,4003.00,0
^NSEI,20070104,11:02,4004.00,4004.00,4002.80,4003.45,0
^NSEI,20070104,11:03,4004.80,4005.05,4004.30,4004.95,0
^NSEI,20070104,11:04,4004.60,4005.75,4004.60,4005.75,0
^NSEI,20070104,11:05,4005.35,4005.60,4005.00,4005.45,0
^NSEI,20070104,11:06,4004.25,4004.85,4004.10,4004.85,0
^NSEI,20070104,11:07,4004.90,4005.55,4004.90,4005.55,0
^NSEI,20070104,11:08,4008.20,4008.20,4006.35,4007.95,0
^NSEI,20070104,11:09,4009.20,4009.20,4008.65,4008.75,0
^NSEI,20070104,11:10,4009.45,4009.60,4009.30,4009.60,0
^NSEI,20070104,11:11,4009.80,4010.20,4009.80,4010.10,0
^NSEI,20070104,11:12,4010.30,4010.80,4010.30,4010.75,0
^NSEI,20070104,11:13,4013.65,4013.85,4011.50,4013.85,0
^NSEI,20070104,11:14,4014.10,4014.55,4014.10,4014.40,0
^NSEI,20070104,11:15,4014.05,4014.05,4012.20,4012.20,0
^NSEI,20070104,11:16,4012.60,4012.60,4011.80,4011.80,0
^NSEI,20070104,11:17,4012.35,4013.25,4011.90,4013.25,0
^NSEI,20070104,11:18,4014.25,4014.25,4013.50,4014.25,0
^NSEI,20070104,11:19,4015.40,4015.65,4015.10,4015.10,0
^NSEI,20070104,11:20,4016.10,4017.05,4016.10,4017.05,0
^NSEI,20070104,11:21,4016.45,4016.60,4016.30,4016.30,0
^NSEI,20070104,11:22,4016.50,4017.85,4016.50,4017.85,0
^NSEI,20070104,11:23,4017.60,4018.55,4017.60,4017.60,0
^NSEI,20070104,11:24,4016.90,4016.90,4016.15,4016.15,0
^NSEI,20070104,11:25,4015.45,4015.90,4015.30,4015.45,0
^NSEI,20070104,11:26,4016.80,4016.80,4016.30,4016.30,0
^NSEI,20070104,11:27,4016.20,4016.75,4016.20,4016.35,0
^NSEI,20070104,11:28,4016.60,4018.30,4016.60,4018.30,0
^NSEI,20070104,11:29,4019.60,4019.60,4018.60,4019.40,0
^NSEI,20070104,11:30,4016.40,4018.85,4016.40,4017.20,0
^NSEI,20070104,11:31,4016.40,4016.85,4015.80,4016.85,0
^NSEI,20070104,11:32,4016.65,4016.90,4016.35,4016.75,0
^NSEI,20070104,11:33,4016.80,4017.25,4016.65,4016.80,0
^NSEI,20070104,11:34,4015.90,4017.00,4015.90,4016.20,0
^NSEI,20070104,11:35,4015.35,4015.40,4014.85,4014.85,0
^NSEI,20070104,11:36,4015.15,4015.50,4015.10,4015.35,0
^NSEI,20070104,11:37,4015.25,4016.15,4015.25,4016.15,0
^NSEI,20070104,11:38,4016.60,4016.60,4016.20,4016.60,0
^NSEI,20070104,11:39,4015.40,4015.40,4015.30,4015.30,0
^NSEI,20070104,11:40,4015.60,4015.60,4014.15,4014.15,0
^NSEI,20070104,11:41,4014.80,4014.80,4013.20,4013.20,0
^NSEI,20070104,11:42,4012.65,4012.90,4012.65,4012.70,0
^NSEI,20070104,11:43,4012.20,4013.00,4012.20,4012.25,0
^NSEI,20070104,11:44,4011.70,4012.15,4011.70,4011.95,0
^NSEI,20070104,11:45,4012.10,4012.10,4011.35,4011.95,0
^NSEI,20070104,11:46,4012.10,4012.10,4011.35,4011.35,0
^NSEI,20070104,11:47,4011.65,4011.95,4011.25,4011.95,0
^NSEI,20070104,11:48,4012.80,4012.80,4011.85,4012.80,0
^NSEI,20070104,11:49,4013.45,4013.45,4013.05,4013.20,0
^NSEI,20070104,11:50,4013.75,4014.25,4013.75,4013.75,0
^NSEI,20070104,11:51,4013.95,4014.20,4013.80,4014.20,0
^NSEI,20070104,11:52,4014.40,4015.25,4014.40,4015.25,0
^NSEI,20070104,11:53,4014.95,4015.20,4014.65,4015.20,0
^NSEI,20070104,11:54,4015.20,4015.25,4015.10,4015.15,0
^NSEI,20070104,11:55,4015.65,4016.35,4015.65,4016.35,0
^NSEI,20070104,11:56,4016.65,4016.65,4016.20,4016.20,0
^NSEI,20070104,11:57,4015.55,4015.55,4015.20,4015.20,0
^NSEI,20070104,11:58,4015.75,4015.95,4015.25,4015.75,0
^NSEI,20070104,11:59,4016.00,4016.10,4015.65,4016.10,0
^NSEI,20070104,12:00,4016.55,4016.55,4015.25,4015.25,0
^NSEI,20070104,12:01,4014.85,4014.85,4013.95,4014.10,0
^NSEI,20070104,12:02,4015.30,4015.30,4013.80,4014.90,0
^NSEI,20070104,12:03,4014.35,4015.45,4014.10,4014.10,0
^NSEI,20070104,12:04,4014.45,4014.55,4014.25,4014.25,0
^NSEI,20070104,12:05,4014.70,4014.90,4014.30,4014.30,0
^NSEI,20070104,12:06,4014.75,4015.00,4014.55,4015.00,0
^NSEI,20070104,12:07,4014.00,4014.90,4014.00,4014.25,0
^NSEI,20070104,12:08,4014.35,4015.25,4014.35,4014.90,0
^NSEI,20070104,12:09,4014.50,4015.45,4014.50,4015.20,0
^NSEI,20070104,12:10,4014.45,4014.45,4014.45,4014.45,0
^NSEI,20070104,12:20,4006.15,4006.95,4006.15,4006.55,0
^NSEI,20070104,12:21,4006.40,4007.20,4006.40,4007.05,0
^NSEI,20070104,12:22,4007.65,4007.70,4007.00,4007.70,0
^NSEI,20070104,12:23,4008.40,4008.40,4007.25,4007.65,0
^NSEI,20070104,12:24,4009.10,4009.10,4008.50,4009.10,0
^NSEI,20070104,12:25,4010.30,4010.30,4008.70,4010.10,0
^NSEI,20070104,12:26,4009.95,4011.15,4009.95,4011.15,0
^NSEI,20070104,12:27,4010.15,4010.15,4007.95,4007.95,0
^NSEI,20070104,12:28,4008.00,4008.00,4006.25,4006.30,0
