<Ticker>,<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume> 
^NSEI,20070112,09:55,3942.25,3981.10,3942.25,3981.10,0
^NSEI,20070112,09:56,3998.35,3998.35,3990.60,3997.25,0
^NSEI,20070112,09:57,3997.20,4001.30,3997.20,4000.35,0
^NSEI,20070112,09:58,3998.85,4001.80,3998.85,3999.40,0
^NSEI,20070112,09:59,3992.80,3995.15,3992.35,3992.35,0
^NSEI,20070112,10:00,3994.65,3994.95,3992.90,3994.95,0
^NSEI,20070112,10:01,3997.80,3997.90,3995.00,3997.30,0
^NSEI,20070112,10:02,3997.55,3997.55,3995.60,3997.40,0
^NSEI,20070112,10:03,3996.50,3998.65,3996.50,3998.55,0
^NSEI,20070112,10:04,3999.40,4000.45,3999.35,3999.35,0
^NSEI,20070112,10:05,3999.80,4000.15,3998.65,3999.80,0
^NSEI,20070112,10:06,4002.95,4002.95,4000.40,4002.40,0
^NSEI,20070112,10:07,4002.95,4003.40,4002.70,4002.75,0
^NSEI,20070112,10:08,4003.05,4006.00,4003.05,4003.85,0
^NSEI,20070112,10:09,4003.35,4005.60,4003.35,4003.80,0
^NSEI,20070112,10:10,4001.00,4004.90,4001.00,4002.45,0
^NSEI,20070112,10:11,4000.80,4001.65,4000.80,4000.80,0
^NSEI,20070112,10:12,3998.35,4000.70,3998.35,3998.90,0
^NSEI,20070112,10:13,3997.20,3997.30,3996.80,3996.85,0
^NSEI,20070112,10:14,3996.75,3997.95,3996.75,3997.80,0
^NSEI,20070112,10:15,3996.50,3996.50,3996.05,3996.45,0
^NSEI,20070112,10:16,3995.05,3995.95,3995.05,3995.50,0
^NSEI,20070112,10:17,3994.10,3994.10,3993.60,3993.80,0
^NSEI,20070112,10:18,3994.40,3994.40,3993.50,3993.80,0
^NSEI,20070112,10:19,3992.80,3992.85,3992.15,3992.80,0
^NSEI,20070112,10:20,3994.50,3994.50,3993.15,3993.45,0
^NSEI,20070112,10:21,3994.35,3995.70,3994.25,3995.70,0
^NSEI,20070112,10:22,3995.80,3995.95,3994.75,3995.95,0
^NSEI,20070112,10:23,3997.10,3999.95,3997.10,3999.95,0
^NSEI,20070112,10:24,4000.05,4000.05,3999.15,3999.40,0
^NSEI,20070112,10:25,3999.55,3999.65,3999.00,3999.30,0
^NSEI,20070112,10:26,4000.35,4000.35,3998.85,3998.85,0
^NSEI,20070112,10:27,4000.80,4002.20,4000.80,4001.85,0
^NSEI,20070112,10:28,4001.95,4002.25,4001.45,4001.90,0
^NSEI,20070112,10:29,4000.55,4001.30,4000.15,4000.65,0
^NSEI,20070112,10:30,4000.20,4000.90,4000.20,4000.55,0
^NSEI,20070112,10:31,3998.75,3999.95,3998.75,3998.95,0
^NSEI,20070112,10:32,3998.95,3998.95,3997.05,3997.05,0
^NSEI,20070112,10:33,3996.60,3997.05,3996.55,3997.05,0
^NSEI,20070112,10:34,3996.75,3996.90,3996.20,3996.20,0
^NSEI,20070112,10:35,3993.60,3996.20,3993.60,3994.60,0
^NSEI,20070112,10:36,3993.30,3994.65,3993.30,3994.20,0
^NSEI,20070112,10:37,3994.30,3994.70,3994.30,3994.65,0
^NSEI,20070112,10:38,3994.60,3994.70,3994.25,3994.60,0
^NSEI,20070112,10:39,3996.60,3996.60,3995.05,3996.50,0
^NSEI,20070112,10:40,3996.95,3996.95,3996.55,3996.80,0
^NSEI,20070112,10:41,3998.25,3998.35,3997.00,3998.25,0
^NSEI,20070112,10:42,3997.95,3998.80,3997.95,3998.65,0
^NSEI,20070112,10:43,3999.65,3999.95,3999.45,3999.65,0
^NSEI,20070112,10:44,3999.55,4000.80,3999.55,4000.80,0
^NSEI,20070112,10:45,4001.05,4001.50,4000.30,4000.95,0
^NSEI,20070112,10:46,4000.45,4001.80,4000.45,4001.40,0
^NSEI,20070112,10:47,4000.20,4001.40,4000.20,4000.75,0
^NSEI,20070112,10:48,4001.20,4001.20,3999.00,4001.00,0
^NSEI,20070112,10:49,4001.75,4001.75,4000.85,4000.85,0
^NSEI,20070112,10:50,3999.45,3999.75,3999.05,3999.75,0
^NSEI,20070112,10:51,4000.45,4001.60,4000.45,4001.45,0
^NSEI,20070112,10:52,4002.25,4004.25,4001.95,4004.25,0
^NSEI,20070112,10:53,4005.10,4005.40,4004.50,4005.40,0
^NSEI,20070112,10:54,4005.75,4005.75,4004.05,4005.60,0
^NSEI,20070112,10:55,4005.40,4005.80,4004.75,4005.45,0
^NSEI,20070112,10:56,4005.25,4005.25,4003.40,4003.40,0
^NSEI,20070112,10:57,4003.65,4003.75,4003.05,4003.60,0
^NSEI,20070112,10:58,4003.50,4003.50,4002.85,4003.30,0
^NSEI,20070112,10:59,4003.10,4003.10,4002.65,4002.65,0
^NSEI,20070112,11:00,4002.60,4002.80,4002.15,4002.80,0
^NSEI,20070112,11:01,4002.50,4003.40,4002.40,4002.85,0
^NSEI,20070112,11:02,4004.60,4004.80,4002.90,4004.80,0
^NSEI,20070112,11:03,4004.25,4005.10,4004.25,4004.30,0
^NSEI,20070112,11:04,4003.65,4005.95,4003.65,4005.95,0
^NSEI,20070112,11:05,4006.40,4007.15,4006.40,4006.80,0
^NSEI,20070112,11:06,4007.65,4007.65,4006.85,4007.60,0
^NSEI,20070112,11:07,4008.95,4009.05,4007.10,4009.05,0
^NSEI,20070112,11:08,4009.65,4009.70,4008.85,4008.85,0
^NSEI,20070112,11:09,4009.20,4010.45,4009.20,4010.10,0
^NSEI,20070112,11:10,4010.40,4010.40,4010.05,4010.40,0
^NSEI,20070112,11:11,4008.90,4009.95,4008.50,4008.75,0
^NSEI,20070112,11:12,4008.70,4008.70,4008.15,4008.50,0
^NSEI,20070112,11:13,4008.50,4009.55,4008.50,4009.15,0
^NSEI,20070112,11:14,4009.55,4009.95,4009.50,4009.90,0
^NSEI,20070112,11:15,4009.10,4009.45,4009.10,4009.15,0
^NSEI,20070112,11:16,4009.30,4009.85,4009.30,4009.85,0
^NSEI,20070112,11:17,4011.40,4011.40,4011.15,4011.15,0
^NSEI,20070112,11:18,4011.65,4013.10,4010.80,4013.10,0
^NSEI,20070112,11:19,4013.00,4014.50,4013.00,4014.50,0
^NSEI,20070112,11:20,4013.50,4014.15,4013.45,4014.00,0
^NSEI,20070112,11:21,4014.20,4014.30,4013.55,4014.20,0
^NSEI,20070112,11:22,4013.85,4015.10,4013.10,4015.10,0
^NSEI,20070112,11:23,4013.90,4013.90,4012.05,4013.10,0
^NSEI,20070112,11:24,4013.00,4013.00,4011.90,4011.90,0
^NSEI,20070112,11:25,4012.20,4012.45,4012.10,4012.45,0
^NSEI,20070112,11:26,4013.00,4013.00,4011.80,4012.80,0
^NSEI,20070112,11:27,4012.30,4013.65,4011.70,4013.05,0
^NSEI,20070112,11:28,4013.35,4013.35,4011.70,4013.25,0
^NSEI,20070112,11:29,4012.95,4013.55,4012.95,4013.30,0
^NSEI,20070112,11:30,4013.15,4014.10,4013.15,4014.10,0
^NSEI,20070112,11:31,4013.50,4014.30,4013.25,4013.40,0
^NSEI,20070112,11:32,4013.45,4014.10,4013.45,4014.10,0
^NSEI,20070112,11:33,4013.80,4015.10,4013.75,4015.10,0
^NSEI,20070112,11:34,4014.80,4014.80,4013.65,4014.40,0
^NSEI,20070112,11:35,4015.65,4015.70,4015.30,4015.70,0
^NSEI,20070112,11:36,4014.80,4014.80,4014.50,4014.55,0
^NSEI,20070112,11:37,4014.70,4014.85,4013.70,4013.70,0
^NSEI,20070112,11:38,4013.15,4013.35,4012.35,4012.35,0
^NSEI,20070112,11:39,4012.45,4012.75,4011.90,4011.90,0
^NSEI,20070112,11:40,4013.90,4013.90,4012.25,4013.40,0
^NSEI,20070112,11:41,4013.50,4013.50,4012.20,4012.20,0
^NSEI,20070112,11:42,4011.90,4012.30,4011.15,4011.30,0
^NSEI,20070112,11:43,4010.80,4011.50,4010.80,4010.85,0
^NSEI,20070112,11:44,4011.60,4011.60,4010.60,4011.60,0
^NSEI,20070112,11:45,4007.85,4009.65,4007.85,4008.30,0
^NSEI,20070112,11:46,4008.25,4008.25,4006.45,4006.45,0
^NSEI,20070112,11:47,4005.60,4006.35,4004.15,4004.25,0
^NSEI,20070112,11:48,4004.45,4004.45,4003.95,4004.05,0
^NSEI,20070112,11:49,4004.95,4007.65,4004.65,4007.65,0
^NSEI,20070112,11:50,4008.70,4009.40,4007.60,4009.00,0
^NSEI,20070112,11:51,4008.60,4008.75,4007.00,4007.00,0
^NSEI,20070112,11:52,4007.30,4008.05,4006.75,4007.30,0
^NSEI,20070112,11:53,4007.55,4007.70,4006.85,4007.70,0
^NSEI,20070112,11:54,4005.95,4006.95,4005.95,4006.20,0
^NSEI,20070112,11:55,4006.10,4006.40,4005.65,4006.15,0
^NSEI,20070112,11:56,4005.40,4006.15,4005.40,4005.40,0
^NSEI,20070112,11:57,4005.10,4005.70,4005.10,4005.70,0
^NSEI,20070112,11:58,4005.45,4006.25,4005.35,4005.90,0
^NSEI,20070112,11:59,4006.25,4006.85,4006.10,4006.85,0
^NSEI,20070112,12:00,4005.80,4007.35,4005.80,4006.20,0
