<Ticker>,<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume> 
^NSEI,20070115,09:55,4091.65,4091.65,4052.45,4065.55,0
^NSEI,20070115,09:56,4093.15,4096.80,4093.15,4093.95,0
^NSEI,20070115,09:57,4088.60,4089.65,4087.35,4087.75,0
^NSEI,20070115,09:58,4090.10,4090.10,4087.35,4089.45,0
^NSEI,20070115,09:59,4087.90,4089.10,4085.60,4085.60,0
^NSEI,20070115,10:00,4086.25,4086.25,4085.35,4086.25,0
^NSEI,20070115,10:01,4087.10,4087.10,4086.60,4087.10,0
^NSEI,20070115,10:02,4088.75,4088.75,4087.00,4088.75,0
^NSEI,20070115,10:03,4088.60,4088.70,4087.65,4088.70,0
^NSEI,20070115,10:04,4086.25,4088.55,4086.25,4087.15,0
^NSEI,20070115,10:05,4082.95,4082.95,4081.10,4081.10,0
^NSEI,20070115,10:06,4080.60,4081.75,4080.60,4081.10,0
^NSEI,20070115,10:07,4079.90,4079.90,4079.05,4079.55,0
^NSEI,20070115,10:08,4080.90,4080.90,4080.90,4080.90,0
^NSEI,20070115,10:09,4082.15,4082.15,4082.15,4082.15,0
^NSEI,20070115,10:10,4082.55,4082.55,4082.05,4082.55,0
^NSEI,20070115,10:11,4082.25,4082.50,4082.25,4082.50,0
^NSEI,20070115,10:12,4081.85,4081.85,4081.85,4081.85,0
^NSEI,20070115,10:13,4084.75,4084.90,4081.50,4083.75,0
^NSEI,20070115,10:14,4084.90,4084.90,4083.65,4083.80,0
^NSEI,20070115,10:15,4083.85,4084.20,4083.30,4084.00,0
^NSEI,20070115,10:16,4084.50,4085.25,4084.50,4085.25,0
^NSEI,20070115,10:17,4086.85,4086.85,4086.15,4086.85,0
^NSEI,20070115,10:18,4090.30,4090.30,4088.85,4090.10,0
^NSEI,20070115,10:19,4090.40,4090.65,4090.20,4090.20,0
^NSEI,20070115,10:20,4091.00,4091.00,4089.15,4090.80,0
^NSEI,20070115,10:21,4091.75,4091.80,4091.20,4091.75,0
^NSEI,20070115,10:22,4092.20,4092.20,4092.10,4092.10,0
^NSEI,20070115,10:23,4092.25,4092.25,4092.25,4092.25,0
^NSEI,20070115,10:24,4090.95,4091.15,4090.40,4090.95,0
^NSEI,20070115,10:25,4089.80,4090.05,4089.50,4089.50,0
^NSEI,20070115,10:26,4090.35,4090.35,4090.35,4090.35,0
^NSEI,20070115,10:27,4090.50,4091.35,4090.50,4091.20,0
^NSEI,20070115,10:28,4090.85,4090.85,4090.70,4090.85,0
^NSEI,20070115,10:29,4091.25,4091.30,4091.25,4091.25,0
^NSEI,20070115,10:30,4092.30,4092.30,4092.30,4092.30,0
^NSEI,20070115,10:31,4093.00,4094.05,4093.00,4093.80,0
^NSEI,20070115,10:32,4093.05,4093.60,4093.05,4093.05,0
^NSEI,20070115,10:33,4094.55,4094.55,4093.40,4094.10,0
^NSEI,20070115,10:34,4093.75,4094.20,4093.60,4094.10,0
^NSEI,20070115,10:35,4095.50,4095.50,4094.10,4095.00,0
^NSEI,20070115,10:36,4095.60,4096.40,4095.60,4096.05,0
^NSEI,20070115,10:37,4095.25,4095.50,4094.90,4094.90,0
^NSEI,20070115,10:38,4094.90,4094.90,4093.60,4093.60,0
^NSEI,20070115,10:39,4092.45,4092.75,4092.45,4092.55,0
^NSEI,20070115,10:40,4091.70,4091.70,4091.45,4091.70,0
^NSEI,20070115,10:41,4090.35,4091.40,4090.35,4090.50,0
^NSEI,20070115,10:42,4088.85,4089.30,4086.90,4086.90,0
^NSEI,20070115,10:43,4086.90,4086.90,4086.55,4086.55,0
^NSEI,20070115,10:44,4087.05,4088.25,4087.05,4087.55,0
^NSEI,20070115,10:45,4086.65,4087.60,4086.65,4086.65,0
^NSEI,20070115,10:46,4086.15,4086.65,4086.15,4086.15,0
^NSEI,20070115,10:47,4086.95,4087.20,4086.95,4087.20,0
^NSEI,20070115,10:48,4086.20,4086.35,4085.80,4086.35,0
^NSEI,20070115,10:49,4083.95,4086.30,4083.95,4085.95,0
^NSEI,20070115,10:50,4086.05,4086.05,4084.60,4085.65,0
^NSEI,20070115,10:51,4085.45,4085.45,4084.85,4084.85,0
^NSEI,20070115,10:52,4085.00,4085.65,4085.00,4085.45,0
^NSEI,20070115,10:53,4084.50,4085.35,4084.50,4084.55,0
^NSEI,20070115,10:54,4084.75,4085.10,4084.50,4084.85,0
^NSEI,20070115,10:55,4084.95,4084.95,4084.95,4084.95,0
^NSEI,20070115,10:56,4083.35,4083.35,4083.35,4083.35,0
^NSEI,20070115,10:57,4080.85,4080.85,4080.85,4080.85,0
^NSEI,20070115,10:58,4079.30,4079.30,4079.30,4079.30,0
^NSEI,20070115,11:00,4082.80,4083.10,4082.70,4083.10,0
^NSEI,20070115,11:01,4083.00,4083.00,4082.95,4082.95,0
^NSEI,20070115,11:02,4082.95,4083.15,4082.95,4083.15,0
^NSEI,20070115,11:03,4083.45,4084.50,4083.45,4084.30,0
^NSEI,20070115,11:04,4084.90,4084.90,4084.90,4084.90,0
